id,title,severity,active,verified,is_mitigated,cwe,test,sla_days_remaining,sla_expiration_date,date
1,CVE-2022-27943 GCC-12-Base 12.2.0-14+deb12u1,Low,True,True,False,674,3,120,2026-08-04,2026-04-06
2,CVE-2025-4802 Libc6 2.36-9+deb12u10,High,True,True,False,426,3,30,2026-05-06,2026-04-06
3,CVE-2026-0861 Libc6 2.36-9+deb12u10,High,True,True,False,190,3,30,2026-05-06,2026-04-06
4,CVE-2025-15281 Libc6 2.36-9+deb12u10,Medium,True,True,False,908,3,90,2026-07-05,2026-04-06
5,CVE-2025-8058 Libc6 2.36-9+deb12u10,Medium,True,True,False,415,3,90,2026-07-05,2026-04-06
6,CVE-2026-0915 Libc6 2.36-9+deb12u10,Medium,True,True,False,908,3,90,2026-07-05,2026-04-06
7,CVE-2010-4756 Libc6 2.36-9+deb12u10,Low,True,True,False,399,3,120,2026-08-04,2026-04-06
8,CVE-2018-20796 Libc6 2.36-9+deb12u10,Low,True,True,False,674,3,120,2026-08-04,2026-04-06
9,CVE-2019-1010022 Libc6 2.36-9+deb12u10,Low,True,True,False,119,3,120,2026-08-04,2026-04-06
10,CVE-2019-1010023 Libc6 2.36-9+deb12u10,Low,True,True,False,0,3,120,2026-08-04,2026-04-06
11,CVE-2019-1010024 Libc6 2.36-9+deb12u10,Low,True,True,False,200,3,120,2026-08-04,2026-04-06
12,CVE-2019-1010025 Libc6 2.36-9+deb12u10,Low,True,True,False,330,3,120,2026-08-04,2026-04-06
13,CVE-2019-9192 Libc6 2.36-9+deb12u10,Low,True,True,False,674,3,120,2026-08-04,2026-04-06
14,CVE-2022-27943 Libgcc-S1 12.2.0-14+deb12u1,Low,True,True,False,674,3,120,2026-08-04,2026-04-06
15,CVE-2022-27943 Libgomp1 12.2.0-14+deb12u1,Low,True,True,False,674,3,120,2026-08-04,2026-04-06
16,CVE-2025-15467 Libssl3 3.0.17-1~deb12u2,Critical,True,True,False,787,3,7,2026-04-13,2026-04-06
17,CVE-2025-69419 Libssl3 3.0.17-1~deb12u2,High,True,True,False,787,3,30,2026-05-06,2026-04-06
18,CVE-2025-69421 Libssl3 3.0.17-1~deb12u2,High,True,True,False,476,3,30,2026-05-06,2026-04-06
19,CVE-2025-68160 Libssl3 3.0.17-1~deb12u2,Medium,True,True,False,787,3,90,2026-07-05,2026-04-06
20,CVE-2025-69418 Libssl3 3.0.17-1~deb12u2,Medium,True,True,False,325,3,90,2026-07-05,2026-04-06
21,CVE-2025-69420 Libssl3 3.0.17-1~deb12u2,Medium,True,True,False,754,3,90,2026-07-05,2026-04-06
22,CVE-2025-9230 Libssl3 3.0.17-1~deb12u2,Medium,True,True,False,125,3,90,2026-07-05,2026-04-06
23,CVE-2026-22795 Libssl3 3.0.17-1~deb12u2,Medium,True,True,False,754,3,90,2026-07-05,2026-04-06
24,CVE-2026-22796 Libssl3 3.0.17-1~deb12u2,Medium,True,True,False,754,3,90,2026-07-05,2026-04-06
25,CVE-2025-27587 Libssl3 3.0.17-1~deb12u2,Low,True,True,False,385,3,120,2026-08-04,2026-04-06
26,CVE-2025-9232 Libssl3 3.0.17-1~deb12u2,Low,True,True,False,125,3,120,2026-08-04,2026-04-06
27,CVE-2022-27943 Libstdc++6 12.2.0-14+deb12u1,Low,True,True,False,674,3,120,2026-08-04,2026-04-06
28,NSWG-ECO-428 Base64url 0.0.6,High,True,True,False,0,3,30,2026-05-06,2026-04-06
29,GHSA-rvg8-pwq2-xj7q Base64url 0.0.6,Medium,True,True,False,0,3,90,2026-07-05,2026-04-06
30,CVE-2024-4068 Braces 2.3.2,High,True,True,False,1050,3,30,2026-05-06,2026-04-06
31,CVE-2024-47764 Cookie 0.4.2,Low,True,True,False,74,3,120,2026-08-04,2026-04-06
32,CVE-2023-46233 Crypto-Js 3.3.0,Critical,True,True,False,328,3,7,2026-04-13,2026-04-06
33,CVE-2026-24001 Diff 4.0.2,Low,True,True,False,400,3,120,2026-08-04,2026-04-06
34,CVE-2026-27837 Dottie 2.0.6,Medium,True,True,False,1321,3,90,2026-07-05,2026-04-06
35,CVE-2022-41940 engine.io 4.1.2,Medium,True,True,False,248,3,90,2026-07-05,2026-04-06
36,CVE-2020-15084 Express-JWT 0.1.3,High,True,True,False,285,3,30,2026-05-06,2026-04-06
37,CVE-2025-64756 Glob 10.4.5,High,True,True,False,78,3,30,2026-05-06,2026-04-06
38,CVE-2022-33987 Got 8.3.2,Medium,True,True,False,0,3,90,2026-07-05,2026-04-06
39,CVE-2022-25881 HTTP-Cache-Semantics 3.8.1,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
40,CVE-2024-29415 Ip 2.0.1,High,True,True,False,918,3,30,2026-05-06,2026-04-06
41,CVE-2025-64718 Js-Yaml 3.14.1,Medium,True,True,False,1321,3,90,2026-07-05,2026-04-06
42,CVE-2015-9235 Jsonwebtoken 0.1.0,Critical,True,True,False,20,3,7,2026-04-13,2026-04-06
43,CVE-2022-23539 Jsonwebtoken 0.1.0,High,True,True,False,327,3,30,2026-05-06,2026-04-06
44,NSWG-ECO-17 Jsonwebtoken 0.1.0,High,True,True,False,0,3,30,2026-05-06,2026-04-06
45,CVE-2022-23540 Jsonwebtoken 0.1.0,Medium,True,True,False,287,3,90,2026-07-05,2026-04-06
46,CVE-2022-23541 Jsonwebtoken 0.1.0,Medium,True,True,False,287,3,90,2026-07-05,2026-04-06
47,CVE-2015-9235 Jsonwebtoken 0.4.0,Critical,True,True,False,20,3,7,2026-04-13,2026-04-06
48,CVE-2022-23539 Jsonwebtoken 0.4.0,High,True,True,False,327,3,30,2026-05-06,2026-04-06
49,NSWG-ECO-17 Jsonwebtoken 0.4.0,High,True,True,False,0,3,30,2026-05-06,2026-04-06
50,CVE-2022-23540 Jsonwebtoken 0.4.0,Medium,True,True,False,287,3,90,2026-07-05,2026-04-06
51,CVE-2022-23541 Jsonwebtoken 0.4.0,Medium,True,True,False,287,3,90,2026-07-05,2026-04-06
52,CVE-2016-1000223 JWS 0.2.6,High,True,True,False,0,3,30,2026-05-06,2026-04-06
53,CVE-2025-65945 JWS 0.2.6,High,True,True,False,347,3,30,2026-05-06,2026-04-06
54,CVE-2019-10744 Lodash 2.4.2,Critical,True,True,False,1321,3,7,2026-04-13,2026-04-06
55,CVE-2018-16487 Lodash 2.4.2,High,True,True,False,400,3,30,2026-05-06,2026-04-06
56,CVE-2021-23337 Lodash 2.4.2,High,True,True,False,94,3,30,2026-05-06,2026-04-06
57,CVE-2018-3721 Lodash 2.4.2,Low,True,True,False,471,3,120,2026-08-04,2026-04-06
58,CVE-2025-13465 Lodash 4.17.21,Medium,True,True,False,1321,3,90,2026-07-05,2026-04-06
59,CVE-2020-8203 lodash.set 4.3.2,High,True,True,False,770,3,30,2026-05-06,2026-04-06
60,GHSA-5mrr-rgp6-x4gr Marsdb 0.6.11,Critical,True,True,False,0,3,7,2026-04-13,2026-04-06
61,CVE-2025-57349 Messageformat 2.3.0,Low,True,True,False,1321,3,120,2026-08-04,2026-04-06
62,CVE-2024-4067 Micromatch 3.1.10,Medium,True,True,False,1333,3,90,2026-07-05,2026-04-06
63,CVE-2026-26996 Minimatch 3.0.5,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
64,CVE-2026-27903 Minimatch 3.0.5,High,True,True,False,407,3,30,2026-05-06,2026-04-06
65,CVE-2026-27904 Minimatch 3.0.5,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
66,CVE-2026-26996 Minimatch 3.0.8,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
67,CVE-2026-27903 Minimatch 3.0.8,High,True,True,False,407,3,30,2026-05-06,2026-04-06
68,CVE-2026-27904 Minimatch 3.0.8,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
69,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
70,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
71,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
72,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
73,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
74,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
75,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
76,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
77,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,3,30,2026-05-06,2026-04-06
78,CVE-2026-27903 Minimatch 3.1.2,High,True,True,False,407,3,30,2026-05-06,2026-04-06
79,CVE-2026-27903 Minimatch 3.1.2,High,True,True,False,407,3,30,2026-05-06,2026-04-06
80,CVE-2026-27903 Minimatch 3.1.2,High,True,True,False,407,3,30,2026-05-06,2026-04-06
81,CVE-2026-27903 Minimatch 3.1.2,High,True,True,False,407,3,30,2026-05-06,2026-04-06
82,CVE-2026-27903 Minimatch 3.1.2,High,True,True,False,407,3,30,2026-05-06,2026-04-06
83,CVE-2026-27903 Minimatch 3.1.2,High,True,True,False,407,3,30,2026-05-06,2026-04-06
84,CVE-2026-27903 Minimatch 3.1.2,High,True,True,False,407,3,30,2026-05-06,2026-04-06
85,CVE-2026-27903 Minimatch 3.1.2,High,True,True,False,407,3,30,2026-05-06,2026-04-06
86,CVE-2026-27903 Minimatch 3.1.2,High,True,True,False,407,3,30,2026-05-06,2026-04-06
